side_effects,count
hives,1788
difficult breathing,1130
difficulty breathing,450
itching,275
"a light-headed feeling, like you might pass out",272
"trouble breathing, swallowing, or talking",266
unusual hoarseness,266
"red, swollen, blistered, or peeling skin with or without fever",266
wheezing,266
tightness in the chest or throat,266
"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash",264
headache,240
a seizure,137
"dry mouth, nose, or throat",127
unknown,124
constipation,122
blurred vision,118
little or no urination,113
little or no urinating,106
dizziness,103
painful or difficult urination,101
rash,95
or sleep problems ( insomnia ).,88
"trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling",83
jaundice (yellowing of the skin or eyes),75
sleep problems ( insomnia ),75
a seizure (convulsions),74
diarrhea,72
"blurred vision, tunnel vision, eye pain , or seeing halos around lights",72
seizure (convulsions),68
"high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor",67
shortness of breath,65
"headache , dizziness",63
red or irritated eyes,63
dry mouth,62
pounding heartbeats or fluttering in your chest,61
pain or burning when you urinate,60
"tremor, seizure (convulsions)",59
nausea,56
or feeling restless or excited (especially in children).,55
weight gain,53
fever,52
"redness, warmth, swelling, oozing, or severe irritation of any treated skin",52
"easy bruising or bleeding, unusual weakness",51
"nausea, vomiting",48
"or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist).",47
back pain,47
or headache .,46
"difficult breathing, feeling light-headed",44
feeling restless or excited (especially in children),43
or thickening or hollowing of the skin where you injected the medicine.,43
"nausea , vomiting",42
swelling in your hands or feet,39
"bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds",38
"kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath",38
"signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds",37
severe constipation,37
"easy bruising, unusual bleeding",36
or rash.,36
or abnormal liver function tests .,35
confusion,35
vision problems,34
feeling tired,34
2021 Sanofi announced it will not pursue the development of MRT5500 and will instead focus on the final development stages of its recombinant COVID-19 vaccine in conjunction with GSK. Initial data from a Phase 1/2 study showed positive interim results with neutralizing antibody seroconversion in 91% to 100% of study participants,34
drowsiness,34
"dry eyes, blurred vision",34
redness or crusting around your hair follicles,33
cough,33
"or cold symptoms such as stuffy nose, sneezing, sore throat .",33
"or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Not able to pass urine or change in how much urine is passed. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever)",32
"or cold symptoms such as stuffy nose, sneezing, sore throat.",32
loss of appetite,32
or headache.,31
"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose)",31
trouble sleeping,30
severe stomach pain,30
"headache, dizziness",30
swelling or rapid weight gain,29
"diarrhea, constipation",28
a slow heart rate or weak pulse,28
swelling,28
rectal bleeding,28
weight loss,27
"shortness of breath (even with mild exertion), swelling, rapid weight gain",27
"confusion, hallucinations, severe nervousness",27
numbness or tingly feeling,27
itching or tingly feeling,27
joint pain,26
"high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor",26
decreased urination,26
feeling light-headed,26
"diarrhea , constipation",26
increased blood pressure,25
"cold symptoms such as stuffy nose, sneezing, sore throat",25
or redness or other irritation.,25
hair loss,25
muscle or joint pain,25
trouble breathing,25
shortness of breath (even with mild exertion),25
"confusion, hallucinations",25
numbness or tingling,25
increased sweating,24
"fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out)",24
"swelling in your hands, ankles, or feet",24
abnormal liver function tests,24
"heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, nausea, sweating",24
or ringing in your ears.,24
feeling weak or tired,24
blood in the urine,23
feeling short of breath,23
"rash, itching",23
fast heartbeats,23
"signs of a blood clot--sudden vision loss, stabbing chest pain, feeling short of breath, coughing up blood , pain or warmth in one or both legs",23
fast heart rate,23
"nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of your skin or eyes)",22
unusual changes in mood or behavior,22
problems with memory or concentration,22
"flushing (warmth, redness, or tingly feeling)",22
tiredness,22
"itching, mild skin rash",21
vomit that looks like coffee grounds,21
bleeding from the gums,21
bruises without a cause or that get bigger,21
"swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out",21
vaginal itching or discharge,21
abnormal vaginal bleeding,21
"black, red, or tarry stools",21
or feeling tired.,20
"a skin rash, no matter how mild",20
"fast, slow, or uneven heart rate",20
vision changes,20
trouble swallowing,20
swelling in your feet or ankles,20
increased hair growth,20
"uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement)",20
mood changes,20
dry nose or mouth,19
"feeling nervous, restless, irritable, or anxious",19
"or day-time drowsiness or ""hangover"" feeling after night-time use.",19
"swelling, rapid weight gain",19
"dark urine, clay-colored stools",19
"severe dizziness , feeling like you might pass out",19
tremors,19
"wheezing, difficult breathing",19
or dry mouth.,19
slow heartbeats,18
"nausea , diarrhea",18
ringing in your ears,18
"skin dryness, peeling, or flaking",18
"hives , rash",18
breast tenderness,18
feeling nervous,18
,18
"kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath",18
"signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds",17
or diarrhea.,17
depressed mood,17
"hives , itching",17
"dizziness , drowsiness",17
"the first sign of any skin rash, no matter how mild",17
"trouble lifting your arms, trouble climbing or standing",17
pain,17
muscle weakness,17
"dizziness, drowsiness",17
"blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights",16
changes in your menstrual periods,16
severe or ongoing pain in your joints,16
feeling like you might pass out,16
"any skin rash, no matter how mild",16
painful urination,16
"swelling of your face, lips, tongue, or throat. Stop using benzoyl peroxide and call your doctor at once if you have any of these side effects on the treated skin: severe itching or burning",16
severe stinging or redness,16
or increased sweating.,16
"fast, pounding, or uneven heartbeats",16
severe drowsiness,16
"or swelling of the mouth, face, lips, tongue, or throat. Signs of bleeding like throwing up or coughing up blood",16
weakness,16
or vaginal itching or discharge.,15
muscle twitches (tics),15
stuffy nose,15
urinating less than usual or not at all,15
acne,15
slow or uneven heartbeats,15
"stomach pain, vomiting",15
chest pain,15
muscle pain,15
or changes in color of treated skin.,15
"heart problems - swelling, rapid weight gain, feeling short of breath",15
"liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes)",15
"severe headache, blurred vision, pounding in your neck or ears",15
fast or pounding heartbeats,15
